timestamp,strategy,reason,duration_s
2020-05-13 00:00:00+00:00,rolling_sarima,scheduled,17.867206811904907
2020-05-14 00:00:00+00:00,rolling_sarima,scheduled,17.666781425476074
2020-05-15 00:00:00+00:00,rolling_sarima,scheduled,18.28977346420288
2020-05-16 00:00:00+00:00,rolling_sarima,scheduled,17.556830406188965
2020-05-17 00:00:00+00:00,rolling_sarima,scheduled,17.747365951538086
2020-05-18 00:00:00+00:00,rolling_sarima,scheduled,18.41427206993103
2020-05-19 00:00:00+00:00,rolling_sarima,scheduled,18.109226942062378
2020-05-20 00:00:00+00:00,rolling_sarima,scheduled,17.321849584579468
2020-05-21 00:00:00+00:00,rolling_sarima,scheduled,19.633368968963623
2020-05-22 00:00:00+00:00,rolling_sarima,scheduled,18.26750922203064
2020-05-23 00:00:00+00:00,rolling_sarima,scheduled,18.232901334762573
2020-05-24 00:00:00+00:00,rolling_sarima,scheduled,18.72854471206665
2020-05-25 00:00:00+00:00,rolling_sarima,scheduled,18.352766036987305
2020-05-26 00:00:00+00:00,rolling_sarima,scheduled,19.108150720596313
2020-05-27 00:00:00+00:00,rolling_sarima,scheduled,19.202994108200073
2020-05-28 00:00:00+00:00,rolling_sarima,scheduled,18.124682426452637
2020-05-29 00:00:00+00:00,rolling_sarima,scheduled,17.588353395462036
2020-05-30 00:00:00+00:00,rolling_sarima,scheduled,18.515185832977295
2020-05-31 00:00:00+00:00,rolling_sarima,scheduled,19.299654006958008
2020-06-01 00:00:00+00:00,rolling_sarima,scheduled,18.933216333389282
2020-06-02 00:00:00+00:00,rolling_sarima,scheduled,17.600968837738037
2020-06-02 12:00:00+00:00,rolling_sarima,drift,17.72813320159912
2020-06-03 00:00:00+00:00,rolling_sarima,scheduled,17.819904088974
2020-06-04 00:00:00+00:00,rolling_sarima,scheduled,18.708192586898804
2020-06-05 00:00:00+00:00,rolling_sarima,scheduled,17.009158849716187
2020-06-06 00:00:00+00:00,rolling_sarima,scheduled,17.96930980682373
2020-06-07 00:00:00+00:00,rolling_sarima,scheduled,18.41244149208069
2020-06-08 00:00:00+00:00,rolling_sarima,scheduled,18.30086398124695
2020-06-09 00:00:00+00:00,rolling_sarima,scheduled,18.854071140289307
2020-06-10 00:00:00+00:00,rolling_sarima,scheduled,18.749490976333618
2020-06-11 00:00:00+00:00,rolling_sarima,scheduled,18.001675844192505
2020-06-12 00:00:00+00:00,rolling_sarima,scheduled,18.517024040222168
2020-06-13 00:00:00+00:00,rolling_sarima,scheduled,18.0592360496521
2020-06-14 00:00:00+00:00,rolling_sarima,scheduled,17.82077431678772
2020-06-15 00:00:00+00:00,rolling_sarima,scheduled,17.829312801361084
2020-06-16 00:00:00+00:00,rolling_sarima,scheduled,18.12652587890625
2020-06-17 00:00:00+00:00,rolling_sarima,scheduled,17.57186245918274
2020-06-18 00:00:00+00:00,rolling_sarima,scheduled,18.547301054000854
2020-06-19 00:00:00+00:00,rolling_sarima,scheduled,18.998127698898315
2020-06-20 00:00:00+00:00,rolling_sarima,scheduled,18.397475004196167
2020-06-21 00:00:00+00:00,rolling_sarima,scheduled,18.662880659103394
2020-06-22 00:00:00+00:00,rolling_sarima,scheduled,18.383442878723145
2020-06-23 00:00:00+00:00,rolling_sarima,scheduled,17.870532751083374
2020-06-24 00:00:00+00:00,rolling_sarima,scheduled,18.65662908554077
2020-06-25 00:00:00+00:00,rolling_sarima,scheduled,17.389715433120728
2020-06-26 00:00:00+00:00,rolling_sarima,scheduled,20.754579782485962
2020-06-27 00:00:00+00:00,rolling_sarima,scheduled,24.701374053955078
2020-06-28 00:00:00+00:00,rolling_sarima,scheduled,25.36150813102722
2020-06-29 00:00:00+00:00,rolling_sarima,scheduled,25.03947401046753
2020-06-30 00:00:00+00:00,rolling_sarima,scheduled,25.931954622268677
2020-07-01 00:00:00+00:00,rolling_sarima,scheduled,26.812881469726562
2020-07-02 00:00:00+00:00,rolling_sarima,scheduled,25.798712015151978
2020-07-03 00:00:00+00:00,rolling_sarima,scheduled,26.697844982147217
2020-07-04 00:00:00+00:00,rolling_sarima,scheduled,24.952172994613647
2020-07-05 00:00:00+00:00,rolling_sarima,scheduled,23.896764516830444
2020-07-06 00:00:00+00:00,rolling_sarima,scheduled,24.625518321990967
2020-07-07 00:00:00+00:00,rolling_sarima,scheduled,25.401381492614746
2020-07-08 00:00:00+00:00,rolling_sarima,scheduled,26.133495569229126
2020-07-09 00:00:00+00:00,rolling_sarima,scheduled,23.96626329421997
2020-07-10 00:00:00+00:00,rolling_sarima,scheduled,26.00124192237854
2020-07-11 00:00:00+00:00,rolling_sarima,scheduled,26.629501819610596
2020-07-12 00:00:00+00:00,rolling_sarima,scheduled,22.842112064361572
2020-07-13 00:00:00+00:00,rolling_sarima,scheduled,19.192564725875854
2020-07-14 00:00:00+00:00,rolling_sarima,scheduled,17.572990655899048
2020-07-15 00:00:00+00:00,rolling_sarima,scheduled,18.00514268875122
2020-07-16 00:00:00+00:00,rolling_sarima,scheduled,17.295700311660767
2020-07-17 00:00:00+00:00,rolling_sarima,scheduled,18.46526837348938
2020-07-18 00:00:00+00:00,rolling_sarima,scheduled,18.116914749145508
2020-07-19 00:00:00+00:00,rolling_sarima,scheduled,17.19678568840027
2020-07-20 00:00:00+00:00,rolling_sarima,scheduled,17.432116270065308
2020-07-21 00:00:00+00:00,rolling_sarima,scheduled,17.65897297859192
2020-07-22 00:00:00+00:00,rolling_sarima,scheduled,18.256993293762207
2020-07-23 00:00:00+00:00,rolling_sarima,scheduled,18.341233015060425
2020-07-24 00:00:00+00:00,rolling_sarima,scheduled,25.500650882720947
2020-07-25 00:00:00+00:00,rolling_sarima,scheduled,25.55654263496399
2020-07-26 00:00:00+00:00,rolling_sarima,scheduled,22.90911030769348
2020-07-27 00:00:00+00:00,rolling_sarima,scheduled,17.87661099433899
2020-07-28 00:00:00+00:00,rolling_sarima,scheduled,18.910539627075195
2020-07-29 00:00:00+00:00,rolling_sarima,scheduled,19.10901141166687
2020-07-30 00:00:00+00:00,rolling_sarima,scheduled,18.232301950454712
2020-07-31 00:00:00+00:00,rolling_sarima,scheduled,18.25175976753235
2020-08-01 00:00:00+00:00,rolling_sarima,scheduled,22.145968675613403
2020-08-02 00:00:00+00:00,rolling_sarima,scheduled,27.138688325881958
2020-08-03 00:00:00+00:00,rolling_sarima,scheduled,24.70924687385559
2020-08-04 00:00:00+00:00,rolling_sarima,scheduled,25.427879333496094
2020-08-05 00:00:00+00:00,rolling_sarima,scheduled,23.58980655670166
