timestamp,y_true,yhat,z_resid,lo,hi,residual,silver_label,verified_label,y_lag_1,y_lag_24,y_lag_48,y_roll_mean_24,y_roll_std_24,y_roll_min_24,y_roll_max_24,hour,day_of_week,abs_residual,abs_z_resid
2020-03-13 13:00:00+00:00,13813.0,13830.309530642902,0.0196053656124833,11923.19351346242,15737.425547823384,-17.309530642902246,0.0,0.0,13669.0,13187.0,13603.0,13488.0,1502.2828136452572,11065.0,15547.0,13,4,17.309530642902246,0.0196053656124833
2020-03-16 19:00:00+00:00,14309.0,14055.634699368708,0.3810931423624899,11619.392054320952,16491.87734441646,253.36530063129248,0.0,0.0,14746.0,13208.0,13324.0,12465.125,1380.6901334351578,10428.0,14746.0,19,0,253.36530063129248,0.3810931423624899
2020-03-17 11:00:00+00:00,12151.0,11529.227346512802,0.8242910125382494,9689.364360026322,13369.090332999282,621.7726534871981,0.0,0.0,12330.0,12144.0,12215.0,12566.625,1256.8173334986216,10656.0,14746.0,11,1,621.7726534871981,0.8242910125382494
2020-03-19 03:00:00+00:00,10630.0,10628.567721016618,0.0470818339740796,9729.82615525098,11527.309286782256,1.4322789833822753,0.0,0.0,10520.0,10708.0,10791.0,12713.625,1346.3782598060013,10520.0,14710.0,3,3,1.4322789833822753,0.0470818339740796
2020-03-20 12:00:00+00:00,14074.0,12031.129928477863,2.704418299268865,10094.46337205473,13967.796484901,2042.8700715221366,1.0,1.0,14051.0,13617.0,13160.0,12954.458333333334,1570.1919012923338,10431.0,14835.0,12,4,2042.8700715221366,2.704418299268865
2020-03-21 05:00:00+00:00,10917.0,11071.428591312952,-0.1828608438149681,9870.0985799981,12272.758602627808,-154.42859131295154,0.0,0.0,10588.0,11916.0,11947.0,12855.5,1596.6195811640603,10402.0,14551.0,5,5,154.42859131295154,0.1828608438149681
2020-03-21 14:00:00+00:00,9920.0,12669.919469296594,-3.366131870332729,10574.71333684662,14765.125601746568,-2749.919469296594,1.0,1.0,9798.0,13922.0,13839.0,11451.041666666666,1642.323208119379,9798.0,14551.0,14,5,2749.919469296594,3.366131870332729
2020-03-22 03:00:00+00:00,10053.0,10353.030791670077,-0.3442949240445164,9438.40889834331,11267.65268499684,-300.0307916700767,0.0,0.0,10010.0,10436.0,10570.0,10939.875,1120.636205659438,9798.0,13522.0,3,6,300.0307916700767,0.3442949240445164
2020-03-26 15:00:00+00:00,11887.0,12222.520353039172,-0.3187379231699943,9965.672968261792,14479.36773781655,-335.5203530391718,0.0,0.0,11145.0,11821.0,11881.0,11761.0,1152.4693337427161,10408.0,14157.0,15,3,335.5203530391718,0.3187379231699943
2020-03-28 03:00:00+00:00,10016.0,10033.64676522878,0.1040020769147212,9168.457196510522,10898.836333947036,-17.64676522877926,0.0,0.0,9943.0,10520.0,10588.0,11586.875,1168.6659176915798,9943.0,13896.0,3,5,17.64676522877926,0.1040020769147212
2020-03-28 04:00:00+00:00,10154.0,10308.608854167242,-0.0783829762499864,9272.116223524776,11345.101484809707,-154.6088541672416,0.0,0.0,10016.0,10898.0,11052.0,11555.875,1197.2515377167852,9943.0,13896.0,4,5,154.6088541672416,0.0783829762499864
2020-03-30 02:00:00+00:00,10203.0,9927.887726433151,0.4878465516101733,9282.956805239355,10572.818647626951,275.11227356684867,0.0,0.0,10023.0,9772.0,9943.0,10535.375,1005.4589612838886,9578.0,12738.0,2,0,275.11227356684867,0.4878465516101733
2020-03-30 07:00:00+00:00,13320.0,11638.94420080979,2.5225673914766897,10261.300498586294,13016.587903033287,1681.0557991902097,1.0,1.0,13497.0,9826.0,10329.0,11053.083333333334,1292.1813345847647,9578.0,13497.0,7,0,1681.0557991902097,2.5225673914766897
2020-03-30 10:00:00+00:00,12806.0,10652.58785345613,3.073208286057927,8972.466594830536,12332.709112081726,2153.4121465438693,1.0,1.0,12916.0,9887.0,9611.0,11435.125,1337.2959515217672,9578.0,13497.0,10,0,2153.4121465438693,3.073208286057927
2020-03-30 11:00:00+00:00,12467.0,10461.604396324685,2.821309851261219,8692.044136115452,12231.164656533918,2005.3956036753152,1.0,1.0,12806.0,9651.0,9423.0,11552.458333333334,1296.878257809767,9578.0,13497.0,11,0,2005.3956036753152,2.821309851261219
2020-04-01 21:00:00+00:00,11568.0,11907.06948635872,-0.3981214923555215,9350.40427541928,14463.73469729816,-339.0694863587196,0.0,0.0,12260.0,11682.0,11650.0,12006.5,1017.1659691002427,10319.0,13428.0,21,2,339.0694863587196,0.3981214923555215
2020-04-02 21:00:00+00:00,11537.0,11833.183829126589,-0.2988180319380054,9347.391995439852,14318.975662813322,-296.18382912658853,0.0,0.0,12235.0,11568.0,11682.0,12041.208333333334,1153.3613250037802,10085.0,13648.0,21,3,296.18382912658853,0.2988180319380054
2020-04-04 11:00:00+00:00,8755.0,10979.792589164492,-3.0708240952865378,9298.700276790196,12660.884901538788,-2224.792589164492,1.0,1.0,9190.0,12590.0,12411.0,11034.125,1291.2071976154432,8755.0,13088.0,11,5,2224.792589164492,3.0708240952865378
2020-04-04 12:00:00+00:00,8566.0,10660.672936514691,-2.923639391667064,8899.059595710853,12422.286277318532,-2094.672936514691,1.0,1.0,8755.0,12444.0,12428.0,10872.541666666666,1348.481302901668,8566.0,13088.0,12,5,2094.672936514691,2.923639391667064
2020-04-05 19:00:00+00:00,11796.0,11965.104858712526,-0.2409741292544184,9660.564313458915,14269.645403966137,-169.10485871252604,0.0,0.0,11868.0,12022.0,12799.0,9738.5,1191.869594559248,7877.0,11868.0,19,6,169.10485871252604,0.2409741292544184
