timestamp,y_true,yhat,z_resid,lo,hi,residual,silver_label,verified_label,y_lag_1,y_lag_24,y_lag_48,y_roll_mean_24,y_roll_std_24,y_roll_min_24,y_roll_max_24,hour,day_of_week,abs_residual,abs_z_resid
2020-03-15 13:00:00+00:00,4051.18,4121.295391678834,-0.387103720148944,3707.3006389036746,4535.290144453993,-70.11539167883393,0.0,0.0,4064.49,3774.96,4552.57,3726.9162499999998,477.0402827654935,3032.76,4567.34,13,6,70.11539167883393,0.387103720148944
2020-03-16 18:00:00+00:00,4603.07,4678.937617978628,-0.422415007357119,4221.459816751375,5136.41541920588,-75.867617978628,0.0,0.0,4796.31,4410.77,4380.56,4060.5929166666665,608.104234518185,3076.05,4796.31,18,0,75.867617978628,0.422415007357119
2020-03-18 14:00:00+00:00,4542.37,4676.284053703146,-0.7567488056152517,4247.881395677183,5104.686711729109,-133.91405370314624,0.0,0.0,4720.27,4531.51,4373.31,4217.15375,669.5810056965997,3169.78,4951.68,14,2,133.91405370314624,0.7567488056152517
2020-03-22 23:00:00+00:00,3462.54,3457.010208466889,-0.050902668235129,3150.038115807563,3763.982301126215,5.529791533111165,0.0,0.0,3565.78,3236.28,3405.65,3709.56875,414.22936909411436,3047.61,4480.03,23,6,5.529791533111165,0.050902668235129
2020-03-26 07:00:00+00:00,4486.25,4515.041251913837,-0.2164090802560455,4209.108218013429,4820.974285814245,-28.791251913837186,0.0,0.0,4306.17,4548.19,4579.18,4043.935416666667,486.1703874424124,3303.77,4594.02,7,3,28.791251913837186,0.2164090802560455
2020-03-27 17:00:00+00:00,4278.51,4361.32196790884,-0.5662775085584305,3961.311400976704,4761.332534840975,-82.8119679088395,0.0,0.0,4180.52,4560.87,4590.3,3947.5887500000003,467.4403971985641,3218.4,4537.66,17,4,82.8119679088395,0.5662775085584305
2020-04-03 03:00:00+00:00,3513.14,3587.277004129607,-0.6836888573733487,3378.427374258402,3796.126634000813,-74.13700412960725,0.0,0.0,3277.22,3466.51,3490.75,4105.652083333333,542.527730879936,3250.96,4784.83,3,4,74.13700412960725,0.6836888573733487
2020-04-05 08:00:00+00:00,3818.33,3710.6725267558486,0.8416530670325596,3480.0427036192373,3941.30234989246,107.65747324415133,0.0,0.0,3872.49,3824.28,4603.1,3491.75125,407.7234255921842,2864.29,4129.06,8,6,107.65747324415133,0.8416530670325596
2020-04-09 04:00:00+00:00,2940.94,3381.265413194178,-3.227712319706927,3199.6542698513945,3562.8765565369617,-440.32541319417805,1.0,1.0,2821.55,3508.7,3452.07,3616.9483333333333,579.5466137884162,2751.61,4248.78,4,3,440.32541319417805,3.227712319706927
2020-04-09 09:00:00+00:00,3671.5,4124.809624196367,-2.9441057716728927,3877.4595040040936,4372.159744388639,-453.3096241963667,1.0,1.0,3673.72,4235.11,4191.09,3481.60875,507.101420859275,2751.61,4203.19,9,3,453.3096241963667,2.9441057716728927
2020-04-09 11:00:00+00:00,3550.09,3993.471676608422,-2.7909654505868366,3724.284247869456,4262.659105347388,-443.3816766084219,1.0,1.0,3617.07,4150.78,4157.37,3432.158333333333,462.05467841941675,2751.61,4090.07,11,3,443.3816766084219,2.7909654505868366
2020-04-09 12:00:00+00:00,3442.27,3850.051747368349,-2.525025093855193,3570.5848142491022,4129.518680487597,-407.781747368349,1.0,1.0,3550.09,4057.51,4036.95,3406.523333333333,442.50472637776613,2751.61,4090.07,12,3,407.781747368349,2.525025093855193
2020-04-14 06:00:00+00:00,4330.33,3787.364790951189,3.57325663200664,3565.5605527360826,4009.169029166296,542.9652090488107,1.0,1.0,4174.13,3554.38,3246.07,3574.732083333333,378.5873806778445,2988.35,4330.33,6,1,542.9652090488107,3.57325663200664
2020-04-14 07:00:00+00:00,4375.47,3922.4152656082383,2.9642910847257453,3686.632822224436,4158.197708992041,453.05473439176194,1.0,1.0,4330.33,3709.12,3404.31,3602.4966666666664,411.8449201344805,2988.35,4375.47,7,1,453.05473439176194,2.9642910847257453
2020-04-14 09:00:00+00:00,4502.79,3982.230531539644,3.2608303060018207,3720.723664242165,4243.737398837123,520.5594684603561,1.0,1.0,4477.05,3806.06,3414.64,3661.105,481.1918168464603,2988.35,4502.79,9,1,520.5594684603561,3.2608303060018207
2020-04-14 10:00:00+00:00,4410.15,3922.666323807805,3.0114241077481503,3649.203196198992,4196.129451416617,487.4836761921947,1.0,1.0,4502.79,3747.88,3367.76,3688.6995833333335,504.79489732898617,2988.35,4502.79,10,1,487.4836761921947,3.0114241077481503
2020-04-16 06:00:00+00:00,4322.29,3803.4267264093614,2.750080164512609,3571.173252166141,4035.680200652583,518.8632735906385,1.0,1.0,4066.95,4406.27,4330.33,3814.947083333333,565.1461720843168,2915.5,4520.2,6,3,518.8632735906385,2.750080164512609
2020-04-17 05:00:00+00:00,4163.7,4040.521876687615,0.5547643509758757,3814.908511184563,4266.135242190668,123.17812331238474,0.0,0.0,3657.16,4066.95,4121.86,3829.06875,488.1567177820658,3075.53,4437.11,5,4,123.17812331238474,0.5547643509758757
2020-04-18 08:00:00+00:00,3686.55,4312.268675854179,-2.9872253904103294,4046.397127898439,4578.140223809919,-625.7186758541784,1.0,1.0,3604.67,4400.94,4437.11,3538.455833333333,472.4914475408741,2859.39,4399.6,8,5,625.7186758541784,2.9872253904103294
2020-04-18 09:00:00+00:00,3670.57,4288.672378313026,-2.9113665038150343,4009.417547681341,4567.92720894471,-618.1023783130254,1.0,1.0,3686.55,4399.6,4379.75,3508.0795833333336,436.8089595202976,2859.39,4263.22,9,5,618.1023783130254,2.9113665038150343
