Country,Split,MASE,sMAPE,MSE,RMSE,MAPE,Coverage_80%
BE,Dev,1.0081559119700214,5.67952492984156,655581.360335941,809.6797887658682,5.622875214694351,85.83333333333333
BE,Test,0.855803041954559,5.430857814715409,463464.4825123072,680.7822577831381,5.385252722495496,88.17460317460318
DK,Dev,1.0079916203950416,5.760981082305334,130079.56540883741,360.6654480385353,5.740275272020206,89.20420718396507
DK,Test,0.8532443347650528,5.290641897067093,92883.73254550771,304.7683260207788,5.27062505652559,89.30767704820472
NL,Dev,0.9027231392995928,5.536713679910829,1440698.4849814181,1200.291000125144,5.525952051293739,87.14285714285714
NL,Test,0.8319837569309247,6.003208650736639,1118696.2958704939,1057.684402773575,6.017669839252862,89.88095238095238
